Prix,Condition,RAM,Stockage,Marque,Couleur,Taille écran,Code Couleur,Code Condition,PPI
170.0,Occasion,8.0,256.0,Dell,noir,12.5,0,5,176.0
75.0,Occasion,3.0,160.0,Packard Bell,autre,17.0,10,5,0.0
129.9,Occasion,4.0,256.0,HP,gris,12.5,2,5,125.0
60.0,Occasion,2.0,250.0,Packard Bell,autre,11.6,10,5,0.0
65.0,Occasion,4.0,4.0,AvenueMac.fr ©,autre,0.0,10,5,
240.0,Occasion,8.0,256.0,Dell,noir,15.0,0,5,147.0
360.0,Occasion,4.0,1024.0,Samsung,autre,17.3,10,5,106.0
240.0,Occasion,8.0,256.0,Fujitsu,gris,13.0,2,5,121.0
349.0,Très bon état - Reconditionné,16.0,512.0,HP,gris,13.3,2,3,166.0
349.0,Très bon état - Reconditionné,16.0,512.0,Lenovo,noir,13.0,0,3,0.0
69.0,Occasion,4.0,4.0,AvenueMac.fr ©,autre,0.0,10,5,
276.73,Occasion,4.0,128.0,Sony,autre,13.0,10,5,0.0
950.0,Occasion,8.0,256.0,Apple,gris,13.6,2,5,225.0
200.0,Occasion,24.0,1024.0,ASUS,autre,15.6,10,5,141.0
689.0,Occasion,16.0,1024.0,MSI,noir,15.6,0,5,141.0
209.0,Très bon état - Reconditionné,16.0,256.0,Lenovo,noir,14.0,0,3,0.0
600.0,Occasion,16.0,512.0,Acer,autre,15.6,10,5,0.0
210.0,Occasion,8.0,256.0,Dell,noir,14.0,0,5,112.0
189.0,Occasion,8.0,1024.0,HP,marron,17.3,8,5,106.0
780.0,Occasion,8.0,512.0,Apple,autre,13.0,10,5,0.0
80.0,Occasion,4.0,128.0,Fujitsu,noir,15.6,0,5,100.0
150.0,Occasion,8.0,128.0,Fujitsu,noir,14.0,0,5,112.0
70.79,Occasion,4.0,,Dell,autre,0.0,10,5,
402.73,Occasion,4.0,320.0,DELL,autre,13.0,10,5,0.0
139.9,Occasion,8.0,256.0,Lenovo,autre,13.3,10,5,0.0
499.99,Occasion,16.0,1024.0,HP,noir,17.3,0,5,0.0
145.0,Occasion,8.0,128.0,Fujitsu,noir,14.0,0,5,112.0
250.0,Occasion,8.0,256.0,Dell,noir,14.0,0,5,0.0
399.99,Neuf,8.0,512.0,MEDION,autre,16.0,10,0,0.0
220.0,Occasion,8.0,250.0,Lenovo,autre,15.6,10,5,141.0
100.0,Occasion,4.0,640.0,Samsung,gris,17.3,2,5,0.0
240.0,Occasion,8.0,256.0,Fujitsu,gris,13.0,2,5,121.0
149.0,Occasion,4.0,250.0,Lenovo,noir,12.0,0,5,131.0
105.0,Occasion,8.0,512.0,Dell,noir,15.6,0,5,0.0
180.0,Occasion,8.0,256.0,HP,gris,14.0,2,5,112.0
129.0,Occasion,128.0,128.0,Acer,autre,15.6,10,5,141.0
144.9,État correct - Reconditionné,8.0,512.0,HP,gris,14.0,2,4,0.0
348.4,Occasion,4.0,128.0,Sony,autre,11.0,10,5,0.0
249.0,Occasion,12.0,12.0,HP,gris,15.6,2,5,141.0
210.0,Occasion,8.0,256.0,Dell,noir,14.0,0,5,112.0
99.95,Occasion,1.5,40.0,Apple,blanc,12.1,1,5,106.0
190.0,Occasion,8.0,256.0,HP,gris,14.0,2,5,112.0
2325.8,Occasion,8.0,512.0,Sony,autre,13.0,10,5,0.0
350.0,Occasion,32.0,256.0,Dell,gris,15.6,2,5,141.0
65.0,Occasion,3.0,250.0,eMachines,autre,15.6,10,5,0.0
562.38,Occasion,4.0,250.0,DELL,autre,14.0,10,5,108.0
390.0,Occasion,8.0,256.0,HP,gris,15.0,2,5,147.0
225.57,Occasion,1.0,60.0,HP,autre,15.0,10,5,117.0
90.0,Occasion,1.0,100.0,Acer,gris,15.4,2,5,0.0
50.0,Occasion,4.0,120.0,ASUS,noir,15.6,0,5,0.0
195.0,Occasion,6.0,1024.0,HP,autre,15.6,10,5,100.0
386.25,Occasion,4.0,240.0,Dell,autre,15.0,10,5,122.0
290.0,Occasion,16.0,256.0,HP,gris,15.6,2,5,141.0
189.9,Occasion,8.0,256.0,Lenovo,noir,12.2,0,5,186.0
479.99,Neuf,16.0,512.0,Acer,autre,14.0,10,0,0.0
192.78,Occasion,4.0,64.0,HP,noir,14.0,0,5,112.0
155.0,Occasion,4.0,256.0,ASUS,autre,15.6,10,5,0.0
149.99,Occasion,4.0,128.0,Lenovo,noir,12.0,0,5,288.0
1800.0,Occasion,16.0,512.0,Apple,autre,16.0,10,5,0.0
199.9,Très bon état - Reconditionné,16.0,512.0,Dell,noir,14.0,0,3,0.0
199.99,Occasion,4.0,200.0,Acer,gris,14.0,2,5,157.0
189.99,Occasion,16.0,256.0,Lenovo,noir,12.5,0,5,0.0
233.84,Occasion,16.0,512.0,Dell,noir,33.0,0,5,47.0
179.99,Très bon état - Reconditionné,8.0,250.0,HP,gris,12.5,2,3,125.0
890.0,Ouvert (jamais utilisé),8.0,256.0,Apple,noir,13.6,0,1,225.0
369.0,Très bon état - Reconditionné,8.0,256.0,HP,gris,14.0,2,3,0.0
300.0,Occasion,32.0,256.0,HP,gris,14.0,2,5,0.0
230.0,Occasion,16.0,256.0,Dell,noir,14.0,0,5,157.0
180.0,Occasion,8.0,256.0,Dell,autre,12.5,10,5,0.0
85.0,Occasion,4.0,250.0,Acer,autre,17.0,10,5,0.0
199.0,État correct - Reconditionné,8.0,256.0,Dell,noir,14.0,0,4,112.0
190.0,Occasion,8.0,240.0,Dell,autre,14.0,10,5,157.0
609.0,Très bon état - Reconditionné,32.0,1024.0,HP,autre,15.6,10,3,141.0
299.9,Occasion,8.0,512.0,Lenovo,noir,14.0,0,5,157.0
439.9,Occasion,8.0,128.0,Apple,gris,13.3,2,5,227.0
569.0,Occasion,6.0,256.0,Panasonic,autre,10.8,10,5,119.0
68.44,Occasion,4.0,,Dell,autre,0.0,10,5,
190.0,Occasion,16.0,,Toshiba,autre,17.3,10,5,0.0
449.9,Occasion,16.0,1024.0,Acer,noir,15.6,0,5,141.0
550.05,État correct - Reconditionné,32.0,250.0,Dell,autre,15.0,10,4,147.0
147.0,Occasion,4.0,500.0,ASUS,noir,17.3,0,5,106.0
99.9,Très bon état - Reconditionné,2.0,160.0,ASUS,blanc,10.0,1,3,0.0
89.0,Occasion,4.0,,HP,noir,17.3,0,5,106.0
450.0,Occasion,8.0,240.0,Lenovo,gris,14.0,2,5,157.0
299.0,Occasion,16.0,512.0,Apple,gris,15.4,2,5,0.0
360.0,Occasion,32.0,512.0,Lenovo,noir,14.0,0,5,157.0
100.0,Occasion,2.0,120.0,Compaq,autre,15.4,10,5,0.0
229.0,Très bon état - Reconditionné,8.0,500.0,Dell,noir,15.6,0,3,100.0
459.0,Occasion,8.0,256.0,Dell,gris,15.6,2,5,141.0
749.0,Occasion,16.0,500.0,Apple,gris,16.0,2,5,0.0
179.0,Occasion,8.0,500.0,HP,gris,15.6,2,5,0.0
221.27,Occasion,256.0,40.0,Sony,autre,15.0,10,5,0.0
719.99,Occasion,16.0,1024.0,Lenovo,noir,13.3,0,5,0.0
50.0,Occasion,2.0,32.0,ASUS,autre,11.6,10,5,0.0
199.0,État correct - Reconditionné,8.0,240.0,Lenovo,noir,12.0,0,4,131.0
119.9,Occasion,8.0,8.0,Dell,noir,14.0,0,5,0.0
119.0,Occasion,6.0,6.0,HP,gris,17.3,2,5,106.0
60.0,Occasion,2.0,160.0,Fujitsu,autre,15.4,10,5,0.0
155.0,Occasion,6.0,256.0,HP,autre,15.6,10,5,0.0
90.0,Occasion,4.0,1024.0,Packard Bell,autre,17.0,10,5,0.0
289.0,Très bon état - Reconditionné,8.0,256.0,Lenovo,noir,13.3,0,3,0.0
266.0,Occasion,8.0,256.0,Dell,gris,14.0,2,5,0.0
315.0,Occasion,16.0,512.0,HP,autre,0.0,10,5,
707.72,Occasion,8.0,512.0,Sony,noir,14.0,0,5,0.0
279.0,Occasion,16.0,250.0,Dell,autre,14.0,10,5,157.0
420.0,Occasion,8.0,512.0,Apple,autre,13.0,10,5,232.0
199.9,Occasion,8.0,256.0,Lenovo,noir,12.5,0,5,176.0
1699.0,Neuf,8.0,512.0,Getac,autre,14.1,10,0,156.0
220.0,Occasion,8.0,256.0,Dell,autre,12.5,10,5,0.0
319.0,Occasion,8.0,256.0,Acer,noir,14.0,0,5,0.0
399.0,Occasion,8.0,256.0,Apple,gris,13.0,2,5,232.0
170.0,Occasion,8.0,250.0,HP,autre,15.6,10,5,0.0
160.68,Occasion,4.0,240.0,DELL,autre,15.0,10,5,104.0
380.0,Occasion,16.0,256.0,Dell,gris,14.0,2,5,157.0
65.0,Occasion,3.0,120.0,Fujitsu,autre,15.4,10,5,0.0
179.99,Occasion,8.0,180.0,Lenovo,noir,12.5,0,5,0.0
250.0,Occasion,8.0,256.0,HP,gris,15.0,2,5,104.0
530.0,Occasion,8.0,256.0,Apple,gris,13.0,2,5,232.0
1600.0,Occasion,16.0,1024.0,Alienware,blanc,15.6,1,5,141.0
215.0,Occasion,8.0,256.0,Dell,gris,13.3,2,5,166.0
100.0,Occasion,4.0,640.0,Toshiba,noir,17.3,0,5,0.0
259.9,Occasion,8.0,128.0,Lenovo,noir,13.3,0,5,166.0
535.54,Occasion,8.0,500.0,Sony,rose,15.0,7,5,0.0
370.8,Occasion,2.0,80.0,DELL,autre,15.0,10,5,0.0
80.0,Occasion,4.0,2048.0,Acer,noir,15.6,0,5,100.0
110.0,Occasion,6.0,10.0,Acer,noir,15.6,0,5,100.0
525.02,Occasion,16.0,512.0,Lenovo,bleu,17.0,3,5,130.0
189.0,Très bon état - Reconditionné,16.0,256.0,Dell,noir,14.0,0,3,112.0
290.0,Très bon état - Reconditionné,16.0,512.0,DELL,noir,12.0,0,3,0.0
149.0,Occasion,5.0,128.0,HP,autre,15.6,10,5,0.0
529.9,Occasion,16.0,256.0,Lenovo,noir,15.0,0,5,147.0
299.0,Très bon état - Reconditionné,8.0,256.0,HP,gris,15.6,2,3,100.0
149.0,Occasion,8.0,512.0,Fujitsu,autre,15.6,10,5,0.0
149.99,État correct - Reconditionné,8.0,480.0,Dell,noir,14.0,0,4,112.0
850.0,Occasion,16.0,512.0,Dell,autre,13.0,10,5,0.0
825.0,Ouvert (jamais utilisé),16.0,512.0,Xiaomi,gris,16.0,2,1,189.0
140.0,Parfait état - Reconditionné,8.0,64.0,HP,noir,14.0,0,2,0.0
155.0,Occasion,4.0,256.0,Acer,autre,17.3,10,5,0.0
203.75,Occasion,8.0,250.0,Acer,noir,15.0,0,5,147.0
320.0,Occasion,16.0,256.0,Dell,noir,15.0,0,5,147.0
958.88,Occasion,16.0,1024.0,Samsung,autre,40.0,10,5,85.0
79.0,Occasion,1.0,80.0,IBM,noir,14.0,0,5,91.0
300.0,Occasion,8.0,750.0,Apple,gris,15.0,2,5,0.0
195.7,Occasion,2.0,80.0,DELL,autre,15.0,10,5,0.0
169.0,Occasion,8.0,0.0,Lenovo,noir,14.1,0,5,0.0
175.0,Occasion,4.0,256.0,ASUS,autre,17.3,10,5,0.0
340.0,Occasion,24.0,512.0,Lenovo,noir,14.0,0,5,157.0
249.0,État correct - Reconditionné,8.0,250.0,HP,autre,13.3,10,4,166.0
159.0,Occasion,8.0,256.0,Dell,autre,15.6,10,5,0.0
144.0,Occasion,4.0,500.0,Toshiba,noir,17.3,0,5,106.0
81.31,Occasion,8.0,256.0,Lenovo,autre,0.0,10,5,
110.0,Occasion,3.0,256.0,HP,autre,15.6,10,5,0.0
542.29,Occasion,512.0,512.0,Panasonic,autre,33.0,10,5,0.0
320.0,Occasion,32.0,256.0,Dell,gris,15.6,2,5,141.0
163.03,Occasion,8.0,256.0,Panasonic,gris,25.0,2,5,91.0
320.0,Occasion,8.0,256.0,HP,gris,15.0,2,5,147.0
139.9,Occasion,4.0,250.0,Dell,autre,15.6,10,5,118.0
469.0,Occasion,8.0,750.0,Acer Nitro 5,noir,15.6,0,5,141.0
399.0,Occasion,8.0,700.0,Acer,noir,17.3,0,5,127.0
599.0,Très bon état - Reconditionné,16.0,256.0,HP,gris,17.0,2,3,130.0
250.0,Occasion,16.0,512.0,Dell,gris,15.6,2,5,141.0
295.0,Occasion,8.0,256.0,HP,autre,17.3,10,5,0.0
349.0,État correct - Reconditionné,16.0,250.0,HP,autre,14.0,10,4,157.0
155.0,Occasion,4.0,256.0,ASUS,autre,15.6,10,5,0.0
269.0,État correct - Reconditionné,8.0,250.0,Lenovo,autre,13.3,10,4,118.0
395.0,Occasion,16.0,256.0,HP,autre,15.6,10,5,0.0
450.0,Occasion,32.0,256.0,Dell,noir,17.3,0,5,127.0
350.0,Occasion,16.0,512.0,Dell,gris,14.0,2,5,157.0
88.32,Occasion,8.0,,Sony,autre,0.0,10,5,
430.0,Occasion,128.0,128.0,Huawei,autre,12.6,10,5,240.0
210.0,Occasion,8.0,256.0,HP,autre,14.0,10,5,157.0
240.0,Occasion,8.0,256.0,HP,gris,15.0,2,5,104.0
199.99,Occasion,4.0,1024.0,ASUS,blanc,15.6,1,5,0.0
399.54,Occasion,16.0,512.0,HP,gris,14.0,2,5,157.0
319.0,Occasion,4.0,256.0,Panasonic,blanc,10.8,1,5,119.0
159.0,Occasion,8.0,250.0,Dell,autre,15.6,10,5,0.0
175.0,Occasion,16.0,256.0,Dell,noir,13.3,0,5,166.0
229.0,Occasion,4.0,64.0,Microsoft,gris,10.0,2,5,216.0
450.0,Occasion,8.0,250.0,Dell,autre,13.3,10,5,331.0
100.0,Occasion,8.0,500.0,Dell,gris,14.0,2,5,131.0
90.0,Occasion,4.0,500.0,Acer,autre,13.3,10,5,0.0
99.9,Occasion,2.0,2.0,Apple,autre,15.0,10,5,0.0
249.9,Occasion,16.0,256.0,Dell,noir,13.3,0,5,166.0
180.0,Occasion,1.5,120.0,Panasonic,autre,13.3,10,5,96.0
199.0,Occasion,8.0,256.0,HP,noir,12.0,0,5,131.0
449.0,Occasion,16.0,512.0,Dell,noir,15.6,0,5,141.0
119.0,Occasion,4.0,0.0,Dell,noir,0.0,0,5,
169.0,Occasion,8.0,0.0,HP,gris,14.0,2,5,0.0
200.0,Occasion,4.0,500.0,Acer,autre,15.6,10,5,0.0
349.99,Occasion,8.0,256.0,Lenovo,noir,13.3,0,5,166.0
125.0,Occasion,4.0,,HP,noir,15.6,0,5,100.0
922.96,Ouvert (jamais utilisé),16.0,2048.0,Sony,blanc,39.0,1,1,40.0
230.0,Occasion,8.0,8.0,Dell,noir,15.6,0,5,141.0
529.0,Parfait état - Reconditionné,16.0,256.0,Dell,noir,15.6,0,2,141.0
219.9,Très bon état - Reconditionné,16.0,512.0,Dell,gris,14.0,2,3,0.0
789.0,État correct - Reconditionné,32.0,1024.0,HP,autre,15.6,10,4,141.0
339.99,Occasion,16.0,512.0,Lenovo,noir,14.0,0,5,157.0
249.0,Parfait état - Reconditionné,8.0,1024.0,Dell,gris,14.0,2,2,112.0
65.0,Occasion,3.0,320.0,HP,autre,13.3,10,5,0.0
250.0,Occasion,8.0,256.0,Dell,noir,14.0,0,5,157.0
155.0,Occasion,4.0,256.0,Acer,autre,15.6,10,5,0.0
240.0,Occasion,8.0,256.0,HP,gris,12.5,2,5,125.0
399.0,Occasion,16.0,256.0,Dell,gris,15.6,2,5,141.0
729.9,Occasion,32.0,512.0,Lenovo,noir,15.6,0,5,141.0
219.0,Très bon état - Reconditionné,8.0,512.0,Dell,noir,12.0,0,3,0.0
149.9,Occasion,8.0,256.0,Dell,autre,15.6,10,5,0.0
330.0,État correct - Reconditionné,16.0,256.0,Lenovo,gris,13.0,2,4,0.0
499.0,Occasion,512.0,512.0,Huawei,gris,14.0,2,5,157.0
349.9,Occasion,16.0,1024.0,Lenovo,autre,15.6,10,5,0.0
617.75,Neuf,8.0,512.0,ASUS,autre,15.6,10,0,141.0
369.9,Occasion,16.0,256.0,Lenovo,noir,15.0,0,5,147.0
390.0,Occasion,4.0,128.0,Samsung,gris,12.0,2,5,367.0
250.0,Occasion,16.0,512.0,Lenovo,noir,15.0,0,5,0.0
79.0,Occasion,3.0,320.0,Lenovo,autre,15.6,10,5,100.0
549.0,Occasion,16.0,512.0,Microsoft,gris,13.0,2,5,231.0
220.0,Occasion,4.0,256.0,ASUS,noir,14.0,0,5,0.0
559.0,Occasion,16.0,512.0,Apple,gris,13.0,2,5,0.0
189.0,Occasion,4.0,240.0,HP,noir,13.3,0,5,118.0
80.0,Ouvert (jamais utilisé),2.0,32.0,Danew,gris,10.1,2,1,149.0
689.99,Occasion,16.0,512.0,Lenovo,autre,14.0,10,5,157.0
139.0,Occasion,4.0,120.0,Toshiba,autre,17.3,10,5,0.0
70.0,Occasion,2.0,250.0,Apple,blanc,13.0,1,5,116.0
275.0,Occasion,8.0,256.0,HP,gris,14.2,2,5,155.0
125.0,Occasion,4.0,256.0,Lenovo,autre,15.6,10,5,0.0
290.0,État correct - Reconditionné,16.0,256.0,HP,gris,13.0,2,4,0.0
399.0,Occasion,8.0,256.0,Apple,gris,13.3,2,5,227.0
279.9,Occasion,8.0,256.0,Lenovo,noir,14.0,0,5,210.0
199.0,Très bon état - Reconditionné,8.0,8.0,HP,noir,15.0,0,3,0.0
70.0,Occasion,10.0,750.0,HP,autre,13.3,10,5,0.0
250.0,Très bon état - Reconditionné,8.0,256.0,DELL,noir,12.0,0,3,0.0
249.0,État correct - Reconditionné,8.0,512.0,HP,noir,14.0,0,4,0.0
209.0,Occasion,8.0,0.0,Dell,noir,0.0,0,5,inf
91.83,Occasion,4.0,64.0,Dell,autre,0.0,10,5,
90.0,Occasion,4.0,32.0,Acer,autre,13.0,10,5,0.0
249.0,Occasion,16.0,240.0,HP,noir,15.6,0,5,141.0
120.0,Occasion,4.0,500.0,Toshiba,noir,17.3,0,5,106.0
210.0,Occasion,8.0,256.0,HP,gris,15.6,2,5,141.0
335.0,Occasion,8.0,256.0,Lenovo,gris,15.6,2,5,141.0
133.0,Occasion,4.0,320.0,Lenovo,noir,15.6,0,5,100.0
190.0,Occasion,8.0,128.0,Dell,autre,12.0,10,5,184.0
449.0,Très bon état - Reconditionné,16.0,250.0,Apple,gris,13.0,2,3,0.0
862.54,Occasion,16.0,512.0,HP,bleu,34.0,3,5,68.0
249.0,État correct - Reconditionné,8.0,,Lenovo,noir,15.0,0,4,0.0
99.0,Occasion,4.0,500.0,Dell,autre,15.6,10,5,0.0
249.9,Occasion,8.0,256.0,HP,gris,14.0,2,5,112.0
129.0,Occasion,1.0,160.0,Samsung,bleu,10.0,3,5,119.0
820.24,Occasion,16.0,512.0,Apple,gris,16.0,2,5,226.0
59.98,Occasion,1.0,250.0,ASUS,noir,10.1,0,5,118.0
146.22,Occasion,8.0,500.0,Lenovo,noir,14.0,0,5,131.0
400.0,Occasion,16.0,1024.0,Acer,gris,15.6,2,5,141.0
60.0,Occasion,4.0,64.0,duoduogo,autre,10.0,10,5,0.0
250.0,Ouvert (jamais utilisé),8.0,128.0,Acer,gris,13.5,2,1,0.0
900.0,Occasion,8.0,256.0,HP,autre,13.0,10,5,121.0
914.34,Occasion,32.0,512.0,Dell,gris,39.0,2,5,58.0
59.9,Occasion,4.0,500.0,Sony,autre,14.1,10,5,0.0
330.0,Ouvert (jamais utilisé),8.0,256.0,HP,gris,12.3,2,1,267.0
350.0,Neuf,12.0,512.0,Lenovo,gris,17.3,2,0,106.0
74.0,Occasion,6.0,500.0,HP,marron,15.6,8,5,100.0
279.0,Très bon état - Reconditionné,16.0,240.0,Lenovo,noir,13.0,0,3,0.0
100.0,Occasion,5.0,8.0,Dell,autre,15.0,10,5,0.0
500.0,Neuf,16.0,8.0,Microsoft,rose,12.4,7,0,149.0
595.48,Occasion,16.0,500.0,ASUS,autre,15.6,10,5,0.0
329.99,Occasion,8.0,512.0,Lenovo,noir,12.0,0,5,184.0
599.0,Occasion,16.0,512.0,Apple,gris,13.0,2,5,0.0
145.0,Occasion,4.0,1024.0,ASUS,autre,14.0,10,5,0.0
75.0,Occasion,4.0,500.0,Acer,noir,15.6,0,5,100.0
189.0,Occasion,8.0,500.0,Lenovo,noir,0.0,0,5,
179.0,Occasion,8.0,0.0,elitebook 840 g1,noir,0.0,0,5,
159.0,Occasion,8.0,0.0,Lenovo,noir,14.0,0,5,0.0
449.0,Très bon état - Reconditionné,16.0,256.0,HP,gris,15.6,2,3,100.0
562.38,Occasion,4.0,240.0,HP,autre,14.0,10,5,131.0
110.0,Occasion,4.0,160.0,Dell,gris,13.3,2,5,0.0
750.0,Occasion,16.0,512.0,HP,gris,13.0,2,5,0.0
189.0,Très bon état - Reconditionné,8.0,256.0,Lenovo,noir,14.0,0,3,0.0
175.0,Occasion,8.0,500.0,Lenovo,autre,12.5,10,5,125.0
169.0,Occasion,8.0,500.0,Dell,noir,0.0,0,5,
299.0,Occasion,8.0,256.0,HP,gris,14.0,2,5,157.0
208.4,Occasion,8.0,256.0,Panasonic,gris,25.0,2,5,91.0
720.0,Occasion,8.0,256.0,Apple,autre,13.0,10,5,0.0
250.0,Occasion,8.0,256.0,Lenovo,noir,12.5,0,5,176.0
225.0,Occasion,16.0,512.0,HP,autre,15.0,10,5,0.0
125.0,Occasion,8.0,1024.0,HP,blanc,15.6,1,5,100.0
244.55,Occasion,8.0,512.0,Lenovo,autre,15.0,10,5,147.0
590.0,Ouvert (jamais utilisé),16.0,512.0,HP,gris,13.3,2,1,166.0
310.0,Très bon état - Reconditionné,16.0,256.0,HP,gris,13.0,2,3,0.0
359.47,Occasion,32.0,2048.0,DELL,autre,12.0,10,5,131.0
